// Creator: RBR Ltd.,,,,,,,,,,,,,,,,,,
// Create time: 2024-06-14T16:00:22,,,,,,,,,,,,,,,,,,
// Instrument model firmware and serialID: RBRmaestro³ 1.15 231420,,,,,,,,,,,,,,,,,,
// Sample period: 0.5 second,,,,,,,,,,,,,,,,,,
// Processing history:,,,,,,,,,,,,,,,,,,
"//	231420_20240614_1557.rsk opened using pyRSKtools v1.1.1.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    pressure(dbar),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    voltage(V),    voltage1(V),    voltage2(V),    voltage3(V),    sea_pressure(dbar),    depth(m),    salinity(PSU),    speed_of_sound(m/s),    specific_conductivity(µS/cm),    dissolved_o2_saturation(%)
2024-06-10T07:56:28.500,0.000137962,22.35638428,9.956144333,22.2587986,215.2227478,9.217500687,43.15100098,1500,0.029601496,0.029590767,0.029569309,0.029555723,-0.176355362,-0.174917236,0.011017076,1489.376587,0.14529869,79.39189148
2024-06-11T07:09:48.500,0.00274689,11.55941772,9.992780685,11.99020004,262.3733826,11.86650085,42.94550323,1500,0.029603643,0.029608648,0.029560011,0.029584333,-0.139719009,-0.138579637,0.006711741,1453.359985,3.695608616,77.16495514
2024-06-11T07:12:39.500,0.002525146,13.45562744,9.998516083,12.31199932,260.0521545,11.86000061,42.41350174,1500,0.02959935,0.029608648,0.029571457,0.029582899,-0.133983612,-0.132891014,0.00751293,1460.435059,3.239432573,79.82717133
2024-06-11T07:12:40.000,0.002635238,13.44644165,10.00341988,12.31629944,260.0235291,11.85750103,42.38850021,1500,0.029605072,0.029608648,0.029575033,0.029584333,-0.129079819,-0.128027216,0.007549704,1460.401733,3.381427526,79.80212402
2024-06-11T07:12:40.500,0.003250805,13.43435669,9.997430801,12.31629944,260.0231018,11.85750103,42.38850021,1500,0.029605072,0.02960722,0.029572885,0.029587191,-0.135068893,-0.133967444,0.007783077,1460.35791,4.172533035,79.78068542
2024-06-11T07:12:41.000,0.003362726,13.43167114,9.993468285,12.32049942,259.895813,11.86750031,42.37400055,1500,0.029603643,0.029611509,0.02957217,0.029582899,-0.13903141,-0.137897655,0.007826844,1460.348022,4.316472054,79.73690796
2024-06-11T07:12:41.500,0.002226689,13.44628906,9.994202614,12.32049942,259.8965149,11.85700035,42.36850357,1500,0.02960078,0.029612225,0.029571457,0.029582186,-0.138297081,-0.137169316,0.007400722,1460.400757,2.857205629,79.76280212
2024-06-11T07:12:42.000,0.002526974,13.58172607,9.998998642,12.32439995,260.7944336,11.84450054,42.34100342,1500,0.029601496,0.029610079,0.029567881,0.029585045,-0.133501053,-0.132412389,0.007571206,1460.893677,3.231792212,80.27927399
2024-06-11T07:12:42.500,0.002504664,13.60699463,9.998981476,12.32439995,260.7944336,11.84450054,42.34100342,1500,0.029602926,0.029610079,0.02957217,0.029581469,-0.133518219,-0.132429421,0.007574563,1460.985474,3.201284409,80.32421112
2024-06-11T07:12:43.000,0.00214842,13.67303467,9.997929573,12.32839966,260.8875732,11.83500099,42.3105011,1500,0.029603643,0.029612225,0.029571457,0.029582186,-0.134570122,-0.133472741,0.007478518,1461.224731,2.741537571,80.47039032
2024-06-11T07:12:43.500,0.003189358,13.73391724,9.998105049,12.32839966,260.8869019,11.85550022,42.34400177,1500,0.029602926,0.029608648,0.02957074,0.029584333,-0.134394646,-0.133298695,0.007891094,1461.445557,4.063819885,80.5787735
2024-06-11T07:12:44.000,0.001922748,13.78607178,9.999261856,12.33220005,260.161377,11.85000038,42.38000107,1500,0.02960722,0.029610079,0.029568594,0.029585762,-0.133237839,-0.132151321,0.007455448,1461.633423,2.446823597,80.44710541
2024-06-11T07:12:44.500,0.003193015,13.82244873,10.00033569,12.33220005,260.160614,11.85000038,42.38000107,1500,0.029604357,0.029612225,0.029573604,0.029582899,-0.132164001,-0.131086245,0.007931458,1461.765381,4.059731483,80.51172638
2024-06-11T07:12:45.000,0.002646579,13.8508606,9.995487213,12.33619976,260.595459,11.84350014,42.34800339,1500,0.029604357,0.029610796,0.02957074,0.029580757,-0.137012482,-0.135895193,0.007736975,1461.867676,3.362651348,80.69676208
