B,T,A,M,C,D,N,FluI,FrI,BIX,HIX,sensorvalue,sample
,0.058509647,0.158637566,0.086709916,0.079429118,0.026091958,0.068561641,1.618249637,0.836991166,0.857584174,0.857079868,0.048463947,Sample4B (01)
,0.067520411,0.159673143,0.08566165,0.080336329,0.027630329,0.074417873,1.63848816,0.871051109,0.900213853,0.817413788,0.048792489,Sample4B (02)
,0.068251175,0.145668973,0.08076888,0.076127687,0.026767596,0.069782693,1.656647403,0.854262982,0.880885117,0.823527568,0.047962226,Sample2B (01)
,0.207540087,0.3674133,0.199449061,0.159402194,0.044551367,0.198480437,1.518844534,0.909575112,0.936461139,0.758180323,0.080460525,Sample1S (01)
,0.237700846,0.301240792,0.169357905,0.135975957,0.039055045,0.172240854,1.555655787,0.907252189,0.944904396,0.763036633,0.069299531,Sample5S (01)
,0.155875973,0.300009942,0.165633786,0.134276517,0.038459987,0.159459969,1.562845549,0.901916904,0.937615559,0.771647481,0.070272656,Sample6B (01)
,0.18471006,0.317271805,0.180151238,0.141450695,0.039666315,0.186297961,1.541907325,0.919778357,0.952886739,0.762597797,0.07071966,Sample7S (01)
,0.169492652,0.302203998,0.167262083,0.135809736,0.038859425,0.16429234,1.56674522,0.914074718,0.9460169,0.764380665,0.068571816,Sample4S (01)
,0.065793368,0.154383959,0.083557125,0.078864343,0.027102225,0.074199115,1.664702629,0.857576518,0.889955205,0.823918235,0.049873256,Sample7B (01)
,0.187924904,0.315372982,0.178700671,0.140459154,0.040079846,0.169367418,1.558249688,0.913747242,0.958538001,0.768314921,0.072390116,Sample2S (01)
,0.061101225,0.14704959,0.081395781,0.075882257,0.027013617,0.070155022,1.655214862,0.842816996,0.867906063,0.835280172,0.048619495,Sample3B (01)
,0.179833583,0.31924524,0.181246983,0.141614226,0.040235014,0.170159159,1.542657228,0.907745784,0.952939173,0.772187482,0.072688087,Sample6S (01)
,0.153262581,0.282067877,0.156571605,0.127074288,0.037465934,0.151036996,1.574971009,0.916892977,0.946061214,0.78197564,0.068165395,Sample5B (01)
,0.189193105,0.322512032,0.182900783,0.143558421,0.040501761,0.179799335,1.550326019,0.907042473,0.946921486,0.766838455,0.073271693,Sample3S (01)
,0.083040471,0.156188317,0.086007599,0.080601016,0.027846952,0.080712655,1.623910127,0.861293687,0.886815597,0.808197083,0.05062312,Sample1B (01)
,0.072322318,0.153416448,0.08356358,0.078626617,0.028322953,0.074897349,1.674572955,0.868897295,0.896843165,0.755634273,0.050387617,Sample8B (01)
,0.193248257,0.336231129,0.189821855,0.143043306,0.040019996,0.183100986,1.554236638,0.917389227,0.956731394,0.754703396,0.072156404,Sample8S (01)
,0.070570991,0.16625144,0.090536865,0.084578657,0.028557448,0.080244072,1.662554861,0.862769645,0.888694025,0.823110644,0.051728955,Sample11B (01)
,0.065893354,0.153455812,0.083176853,0.078968775,0.027392839,0.074812745,1.655264029,0.864971,0.886166236,0.821047022,0.049277915,Sample10B (01)
,0.220206099,0.323017009,0.186479065,0.146475796,0.039574062,0.17929848,1.553562523,0.899873128,0.948749946,0.744699987,0.07269047,Sample12S (01)
,0.135353785,0.256567303,0.142835473,0.119212715,0.035633944,0.135807808,1.592588885,0.893713173,0.920482972,0.783962527,0.065574116,Sample12B (01)
,0.233175579,0.317090074,0.183454297,0.142043922,0.040065712,0.200313435,1.546025124,0.925211773,0.975768656,0.740473743,0.072727605,Sample13S (01)
,0.205058071,0.317442804,0.18426768,0.14172184,0.039540298,0.179529407,1.544815205,0.913298175,0.949948887,0.74495224,0.071492186,Sample9S (01)
,0.125800654,0.23880807,0.129880946,0.111613999,0.034284355,0.122951344,1.609832494,0.883872762,0.92382165,0.789963223,0.062160354,Sample13B (01)
,0.212204073,0.322474264,0.199094304,0.141684818,0.040450572,0.189189613,1.5403,0.924898218,0.963771097,0.738847803,0.072774902,Sample11S (01)
,0.22703728,0.317257067,0.190742328,0.143935762,0.04031958,0.213341223,1.526936391,0.936832966,0.972556986,0.72743233,0.071851412,Sample10S (01)
,0.224752506,0.336849875,0.198107101,0.148181526,0.040559006,0.199744169,2.30048521,0.942025183,0.983479797,0.729153212,0.072727151,Sample14S (01)
,0.091521681,0.167633125,0.091961512,0.085199498,0.029595882,0.088036657,1.642356181,0.885119065,0.903206775,0.809869342,0.053724664,Sample14B (01)
,0.248593774,0.333711638,0.204888412,0.145400784,0.039832458,0.215467175,1.561387303,0.962123867,1.004592696,0.719332399,0.072109255,Sample15S (01)
,0.07930529,0.171625812,0.093321062,0.086742377,0.030232971,0.084397551,1.653320439,0.870816197,0.896614174,0.825258212,0.052819765,Sample15B (01)
,0.31673177,0.356480204,0.237016799,0.173994649,0.048441997,0.240841411,1.563750061,1.031512044,1.091379232,0.583561686,0.085550171,Sample16SF (01)
,0.308651642,0.385404683,0.25124472,0.161688023,0.04329556,0.266170774,1.557409247,1.031786729,1.09575439,0.672131864,0.078179886,Sample16S (01)
,0.271988215,0.351325572,0.256555083,0.19440857,0.049868143,0.240207134,1.547402947,1.108663376,1.199976051,0.64865042,0.088390823,Sample17SF (01)
,0.235244436,0.333477585,0.197338465,0.148343664,0.042047143,0.194696409,1.540178455,0.951875114,0.992180277,0.752723477,0.076474143,Sample17S (01)
,0.217428347,0.232716814,0.185753241,0.147654378,0.039631672,0.171962796,1.592679266,1.117334051,1.224484183,0.613658246,0.068175435,Sample17BF (01)
,0.203391597,0.223779537,0.176330735,0.142610757,0.038106635,0.164725424,1.606183976,1.110812631,1.194644737,0.623237304,0.066436849,Sample17BF (02)
,0.103606945,0.205935235,0.114477734,0.099703642,0.032145874,0.105630669,1.609525295,0.905439633,0.929228464,0.789366313,0.057501454,Sample17B (01)
